moves,shallow,deep
5,0.015845549040511737,0.009218416844349679
6,0.0029850746268656712,0.0020089285714285712
7,0.013691697761194027,0.002611940298507462
8,0.006236673773987204,-0.0022641257995735607
9,0.002611940298507462,-0.0022824493603411516
10,-0.003436833688699358,-0.004940698294243068
11,-0.00039845415778251916,-0.0030317164179104322
12,-0.006823694029850747,-0.011765724946695097
13,-0.023868936567164184,-0.03712853144989339
14,-0.03749067164179104,-0.01971215351812367
15,-0.03712853144989339,-0.04918210287846482
16,-0.0547934434968017,-0.04596215351812366
17,-0.06112639925373134,-0.05984841417910447
18,-0.06447228144989339,-0.06250932835820895
19,-0.013140325159914725,-0.035899520255863536
20,-0.05073227611940299,-0.04360740938166312
21,-0.014818430170575695,-0.04799773454157783
22,-0.062257462686567164,-0.039857409381663114
23,-0.0031566497867803857,-0.01825992803837953
24,-0.05609141791044776,-0.05369402985074627
25,-0.027935767590618336,-0.03952425373134328
26,-0.002226812366737746,-0.012036913646055438
27,-0.03952425373134328,-0.03652751865671641
28,-0.02605610341151386,-0.031188699360341146
29,-0.005428105010660978,-0.01541277985074626
30,-0.048797974413646056,-0.038635394456289975
31,-0.05430770255863539,-0.056171708422174824
32,-0.033610740938166295,-0.035074626865671636
33,-0.041987606609808104,-0.0587350079957356
34,-0.06265858208955223,-0.07597547974413645
35,-0.07102078891257994,-0.07104877398720681
36,-0.09403984541577824,-0.0925373134328358
37,-0.09105610341151385,-0.09908748667377398
38,-0.09327025586353943,-0.08809168443496801
39,-0.10598081023454156,-0.10398320895522385
40,-0.08272921108742003,-0.09526918976545842
41,-0.11188899253731342,-0.10161080756929637
42,-0.09937633262260129,-0.10393057036247333
43,-0.07908615405117271,-0.07985074626865671
44,-0.14922507995735607,-0.15159381663113006
45,-0.17457889125799572,-0.17881962953091685
46,-0.20000799573560768,-0.21849347014925374
47,-0.2154454291044776,-0.20998334221748396
48,-0.24433302238805965,-0.26575159914712154
49,-0.26338519456289977,-0.25708222281449894
50,-0.25157782515991467,-0.2448913912579957
51,-0.23862839818763323,-0.26042110874200425
52,-0.22822894456289974,-0.24329424307036243
53,-0.2460870868869936,-0.23988106343283577
54,-0.2408408848614072,-0.2401299307036247
55,-0.24560867537313427,-0.2723127665245202
56,-0.24407915778251596,-0.20905517057569292
57,-0.25250799573560767,-0.23708322228144987
58,-0.2099546908315565,-0.18620935501066097
59,-0.2148730676972281,-0.19606143390191894
60,-0.2346395255863539,-1
61,-0.28702292110874195,-1
62,-1,-1
63,-1,-1
64,-1,-1
5,0.015845549040511737,0.00921841684434968
6,-0.006977611940298507,-0.0004597547974413696
7,0.03538146321961621,0.02194462953091685
8,0.02622268123667377,0.027257462686567157
9,0.020022654584221748,0.00431869669509595
10,0.010948827292110875,0.0073001066098081005
11,0.005806236673773986,-0.003533115671641787
12,-0.01859275053304904,-0.027240138592750533
13,-0.014004197761194031,-0.0384158448827292
14,-0.03908981876332622,-0.0388659381663113
15,-0.04785880863539445,-0.050741271321961615
16,-0.051441897654584234,-0.04698160980810234
17,-0.033051372601279314,-0.029832755863539444
18,-0.021668443496801706,-0.01804570895522388
19,-0.0008265591684434945,-0.00745768923240938
20,-0.026082089552238806,-0.00490938166311301
21,-0.026802038912579956,-0.020852212153518124
22,-0.00490938166311301,-0.017815831556503202
23,-0.0037080223880597077,0.0064825426439232385
24,-0.011695762260127932,0.002489339019189754
25,-0.02404351012793177,-0.021084421641791043
26,-0.01508528784648188,-0.038656050106609816
27,0.0032625932835820895,-0.02635760927505331
28,0.019382995735607658,0.0020229211087419985
29,0.019966351279317698,0.01214319029850747
30,0.05352078891257994,0.03575026652452025
31,0.03110940831556504,0.04157116204690831
32,-0.021982942430703624,-0.022164179104477617
33,-0.046105410447761175,-0.062100879530916836
34,-0.06928171641791045,-0.07117270788912579
35,-0.03696795042643923,-0.03590018656716418
36,-0.02885794243070363,-0.02388726012793177
37,-0.012414378997867796,-0.0018706689765458327
38,0.03125666311300641,0.009971348614072506
39,-0.010167244136460547,-0.01120335820895521
40,0.016329291044776127,-0.015263859275053304
41,-0.025585354477611948,-0.022651252665245203
42,-0.09982009594882729,-0.13044309701492535
43,-0.10979810767590617,-0.10686100746268656
44,-0.09452225479744136,-0.119284381663113
45,-0.10018823294243069,-0.10302771855010659
46,-0.11192030916844348,-0.0980410447761194
47,-0.1192024253731343,-0.12242670575692964
48,-0.09274720149253732,-0.0970748933901919
49,-0.07856276652452024,-0.11086287313432835
50,-0.12377798507462687,-0.11454091151385926
51,-0.16557535980810234,-0.15923174307036245
52,-0.14451692430703625,-0.1429690831556503
53,-0.09857909115138594,-0.12473880597014926
54,-0.09732675906183366,-0.12648121002132195
55,-0.11395289179104476,-0.09527685234541576
56,-0.10046908315565031,-0.05550373134328357
57,-0.013437833155650305,-0.016371268656716412
58,-0.010121268656716398,-0.09013726012793175
59,-0.011487539978678026,-0.009968350213219615
60,-0.021661780383795317,-1
61,0.01071461886993604,1
62,1,1
63,1,1
64,1,1
5,0.015845549040511737,0.009218416844349679
6,-0.006977611940298507,-0.00045975479744136613
7,0.00898387526652454,0.010724946695095959
8,-0.004820762260127931,-0.014252398720682301
9,0.02028085021321962,0.006771388592750539
10,0.0045509061833688726,0.007194163113006399
11,0.012749533582089558,-0.0012943097014925312
12,0.00999866737739872,0.01627398720682303
13,-0.008885261194029846,-0.0032659248400852894
14,-0.019004530916844346,-0.017785181236673775
15,-0.03733841950959488,-0.029153118336886996
16,-0.01955223880597015,-0.013232942430703637
17,-0.02364872068230277,-0.03139625533049041
18,-0.03804637526652452,-0.02858208955223881
19,-0.04589918710021322,-0.05300173240938166
20,-0.01726212686567164,-0.034426972281449884
21,-0.026637126865671643,-0.02869469616204691
22,-0.000722281449893402,-0.007959754797441376
23,-0.02906116737739872,-0.02115438432835821
24,0.01377332089552238,0.008003731343283579
25,-0.008465151918976541,-0.010223880597014918
26,-0.009628198294243068,-0.01629464285714287
27,0.01306203358208955,-0.026238672707889127
28,0.006493203624733471,-0.015708955223880612
29,0.010306170042643913,-0.030931836353944562
30,-0.001531183368869947,-0.016597814498933904
31,-0.04781283315565032,-0.06244003198294242
32,-0.04044976012793177,-0.03553171641791046
33,-0.03947894456289977,-0.07042777185501066
34,-0.050055970149253726,-0.0513172974413646
35,-0.08052571961620468,-0.08664712153518124
36,-0.03776119402985076,-0.08582755863539443
37,0.003059368336887004,-0.02911913646055437
38,0.03036380597014926,-0.01728678038379531
39,-0.03168543443496802,-0.08252565298507461
40,-0.09889392324093818,-0.14262126865671643
41,-0.07337453358208955,-0.11804037846481875
42,-0.073125,-0.1040644989339019
43,-0.128486473880597,-0.13364205756929637
44,-0.14004797441364608,-0.13848747334754796
45,-0.1173823960554371,-0.10971148720682303
46,-0.1192324093816631,-0.13115671641791044
47,-0.1749653518123667,-0.17706689765458422
48,-0.14906716417910448,-0.15763726012793178
49,-0.15381463219616204,-0.14369303038379533
50,-0.10421108742004263,-0.10853877931769723
51,-0.03540111940298508,-0.04857242803837954
52,-0.10625,-0.14509328358208956
53,-0.09994169776119403,-0.04643656716417911
54,-0.26398720682302773,-0.3300359808102345
55,-0.14847481343283583,-0.16836787046908316
56,-0.11167710554371002,-0.16833688699360339
57,-0.07483875266524521,-0.021457889125799566
58,-0.008315565031982938,-0.08929504264392324
59,0.010938832622601273,-0.029371335287846488
60,0.019239072494669503,-1
61,-0.029371335287846488,-1
62,-1,-1
63,-1,-1
64,-1,-1
5,0.015845549040511737,0.00921841684434968
6,-2.168404344971009e-19,-0.007212819829424309
7,0.00921841684434968,-0.0025443097014925383
8,-0.012276785714285716,-0.012245469083155658
9,0.039670842217484015,0.03479211087420042
10,0.0149160447761194,0.012211487206823017
11,0.03201459221748401,0.017945429104477613
12,0.006216684434968014,-0.0010154584221748475
13,0.03189132462686567,0.024254064498933896
14,0.013618070362473348,0.023208955223880598
15,0.023325892857142858,0.025296841684434974
16,0.025991471215351808,0.024913379530916845
17,0.026065764925373137,0.01788679371002133
18,0.01948294243070362,0.015293843283582093
19,0.0037809834754797458,0.009498267590618344
20,0.03873600746268656,0.035171908315565034
21,0.031108408848614072,0.025616337953091695
22,0.03033049040511727,0.03851945628997869
23,0.011212353411513866,0.009575559701492535
24,0.0214465618336887,0.028655383795309165
25,0.015858208955223885,0.011655783582089553
26,-0.003242270788912576,0.009634861407249468
27,-0.00781949626865671,-0.017581956289978665
28,-0.012183502132196157,-0.008314232409381648
29,-0.015954824093816627,-0.0336377265458422
30,-0.03130197228144988,-0.02239805437100213
31,-0.02744736140724946,-0.03244602878464818
32,-0.03290378464818762,-0.019720149253731334
33,-0.023032715884861405,-0.014396321961620467
34,-0.017481343283582088,-0.00418310234541578
35,-0.015636327292110872,-0.02479710820895522
36,-4.6641791044774866e-05,0.018530117270788914
37,0.008436833688699356,-0.0057476012793176955
38,-0.031123400852878468,-0.04564565565031983
39,0.011651452558635398,-0.0015881529850746215
40,0.012641257995735612,0.021443230277185497
41,0.024727145522388062,0.02097048240938166
42,0.04681236673773988,0.03950892857142857
43,0.02876132729211088,0.020402118869936044
44,0.05144256396588487,0.05026785714285715
45,0.06771788379530917,0.053717350746268634
46,0.04599013859275052,-0.0070895522388059636
47,0.05599880063965883,0.12168643390191893
48,0.06532182835820896,0.013895255863539449
49,0.1246268656716418,0.08797241471215349
50,0.14522254797441364,0.13695495735607677
51,0.2433455490405117,0.2742304104477612
52,0.18532049573560766,0.1617257462686567
53,0.2067963752665245,0.2612639925373134
54,0.11588219616204688,0.10242137526652452
55,0.16678871268656714,0.18195695628997868
56,0.13867937100213218,0.11957622601279316
57,0.11813232942430703,0.16830257196162046
58,0.0974613539445629,0.09625466417910448
59,0.19740704957356076,0.23463652718550107
60,0.24550839552238804,1
61,0.1514688832622601,1
62,1,1
63,1,1
64,1,1
5,0.015845549040511737,0.00921841684434968
6,0.0029850746268656712,0.0020089285714285712
7,0.008983875266524534,-0.004286047441364605
8,-0.02096881663113006,-0.015636993603411514
9,-0.014057835820895516,-0.012062233475479746
10,-0.012436034115138592,-0.00470682302771855
11,0.012736873667377399,0.0007579291044776115
12,0.00918376865671642,0.0049173773987206786
13,0.058791977611940306,0.05472348081023455
14,0.053288912579957354,0.045405783582089555
15,0.050537046908315564,0.04484808102345415
16,0.05718616737739872,0.05205890191897654
17,0.056628464818763324,0.04894223081023455
18,0.04566231343283582,0.039039179104477614
19,0.03615105277185502,0.02142990405117272
20,0.04099813432835821,0.04622068230277185
21,0.0404754131130064,0.02525652985074627
22,0.03938566098081023,0.04280983475479744
23,0.03921242004264392,0.02065265191897654
24,0.04641524520255864,0.043799307036247334
25,0.045519722814498925,0.03115205223880597
26,0.0331956289978678,0.04207089552238807
27,0.02525186567164179,0.02282649253731343
28,0.05478078358208956,0.05900986140724945
29,0.02282649253731343,0.02625199893390191
30,0.04415111940298508,0.03748001066098082
31,0.06991371268656718,0.046010461087420046
32,0.011787046908315571,0.004822761194029855
33,0.016048107675906184,0.004395655650319831
34,0.032024253731343266,0.024002531982942436
35,0.042748867270788915,0.025374133795309176
36,0.054992670575692966,0.04974680170575692
37,0.036038779317697237,0.01751499200426439
38,0.008222281449893397,0.0189752132196162
39,0.01751499200426439,-0.012658582089552239
40,-0.012742537313432847,-0.034260394456289985
41,0.023927238805970162,0.05506896321961619
42,0.00674706823027719,-0.02703358208955224
43,0.05967983742004264,0.0813925906183369
44,0.049431636460554366,0.017757196162046907
45,0.05306303304904052,0.06283748667377399
46,0.04450293176972281,0.0380830223880597
47,0.04441897654584222,0.07970282515991471
48,0.02476679104477611,0.010225213219616204
49,0.02788579424307034,0.06631429904051173
50,-0.006160714285714283,-0.017217484008528787
51,-0.03004331023454157,-0.01883328891257996
52,-0.014976679104477607,0.01897121535181236
53,-0.060351146055437094,-0.012989738805970147
54,-0.03545842217484009,-0.039627531982942416
55,0.017826492537313433,0.12321528518123666
56,-0.0421655117270789,0.009301705756929637
57,-0.030159248400852892,0.015279517590618331
58,-0.006496535181236676,-0.09633662046908317
59,-0.0434728144989339,0.008748001066098066
60,0.04913779317697226,-1
61,0.057255463752665214,1
62,-1,-1
63,-1,-1
64,-1,-1
5,0.015845549040511737,0.009218416844349677
6,0.0029850746268656678,0.0020089285714285712
7,0.00971015458422175,0.007221148720682302
8,-0.009048507462686563,-0.00793310234541578
9,0.005818563432835815,0.007466018123667376
10,-0.014028518123667379,-0.013271588486140727
11,-0.014341351279317696,-0.010879197761194032
12,-0.021683102345415775,-0.02028118336886993
13,-0.026072761194029848,-0.024441297974413648
14,-0.006415245202558633,-0.01745668976545842
15,-0.007584288379530919,-0.017004597547974412
16,0.003440831556503196,0.002878464818763327
17,-0.002203824626865676,-0.011977945095948822
18,-0.04586220682302772,-0.031110074626865672
19,-0.053325226545842215,-0.0468396855010661
20,-0.06111007462686567,-0.07797441364605542
21,-0.06193696695095949,-0.05753598081023453
22,-0.04586886993603412,-0.01527318763326226
23,-0.04444962686567164,-0.05435800906183368
24,-0.030211886993603408,-0.022061567164179105
25,0.019581556503198295,-0.020939832089552232
26,-0.04158981876332623,0.001729077825159922
27,0.009715485074626863,-0.02338852611940298
28,-0.03977545309168443,-0.001471215351812355
29,0.01952725213219616,-0.01189765458422172
30,0.01943496801705756,0.01720149253731343
