moves,shallow,deep
5,0.024362006929637525,0.012828991204690832
6,0.008159398320895522,-0.004147787846481879
7,-0.004147787846481879,-0.0006933801972281454
8,-0.005583688699360341,-0.009689832089552238
9,0.04462036913646056,0.04032515991471216
10,0.015844882729211085,0.010166244669509595
11,0.012340918176972276,0.02000349813432835
12,-0.019994752798507463,-0.01373600746268656
13,-0.00591351279317697,-0.0017269956023454186
14,-0.021811700426439228,-0.014485607675906183
15,0.002686900319829424,0.010967900453091683
16,-0.016323377531982944,-0.008595415778251594
17,-0.00478411513859275,-0.012556636460554368
18,-0.028050872867803833,-0.027454524253731353
19,-0.010739272388059707,-0.036830357142857144
20,-0.04832505996801705,-0.02242137526652452
21,0.010631829690831561,-0.0074801772388059795
22,-0.030315914845415775,-0.0011777052238805957
23,-0.0011777052238805957,-0.028766324626865673
24,-0.057589285714285704,-0.03648220948827292
25,0.005375466417910451,-0.006754314365671642
26,-0.043079524253731336,-0.02365904850746269
27,-0.0004780783582089554,-0.01552255463752665
28,-0.041052688566098075,-0.02144689498933902
29,-0.005015658315565032,-0.0173823960554371
30,-0.033260177905117275,-0.008911080756929639
31,0.014503098347547975,-0.0016008128997867868
32,-0.03839327358742004,-0.02902285447761194
33,-0.014960354477611945,-0.029676672441364606
34,-0.07138526119402985,-0.07767523987206824
35,-0.07767523987206824,-0.10439723813965884
36,-0.10552372068230279,-0.07261127398720682
37,-0.07261127398720682,-0.10355602012260129
38,-0.1298640724946695,-0.13700026652452024
39,-0.1025511393923241,-0.1252040578358209
40,-0.13370743936567164,-0.13616904317697226
41,-0.12586578824626865,-0.1299032182835821
42,-0.13941397921108742,-0.14431220015991475
43,-0.14431220015991475,-0.14993628398187633
44,-0.16236465551705756,-0.16026119402985076
45,-0.1466905150586354,-0.14540203558102346
46,-0.161968200293177,-0.14976679104477614
47,-0.1374825093283582,-0.1433310567697228
48,-0.1525082456023454,-0.15001499200426438
49,-0.12357451026119402,-0.12418376865671642
50,-0.13823460820895522,-0.15840801572494667
51,-0.12055112273454159,-0.12799257062899788
52,-0.14382787513326226,-0.18803638059701494
53,-0.09782949093816631,-0.09089610541044778
54,-0.11383220615671641,-0.1480793576759062
55,-0.07483342217484008,-0.08635894189765457
56,-0.15324243736673773,-0.1443446828358209
57,-0.057377731876332626,-0.06951334288379532
58,-0.14322028251599148,-0.12140525053304904
59,-0.12125116604477612,-0.1406508195628998
60,-0.14121052105543708,-1
61,-0.140870285847548,-1
62,-1,-1
63,-1,-1
64,-1,-1
5,0.024362006929637525,0.012828991204690832
6,-0.006191697761194029,-0.018886593816631134
7,-0.018886593816631134,-0.004223580756929638
8,-0.004223580756929638,-0.0191297974413646
9,0.012286780383795309,0.010033815298507463
10,-0.021836687100213213,-0.012109374999999999
